2023-05-18		14:36:42	158d218d-4a7c-409c-baf0-12f3bc011dc8	 GET	undefined	/su 
2023-05-18		14:36:42	198872fd-f115-4703-be8e-73369427870b	 GET	undefined	/css/style.css 
2023-05-18		14:36:50	71464af2-2cf8-415b-96c3-65356ee413f7	 GET	undefined	/subdir/kfjfj 
2023-05-18		14:36:50	470f86de-f4c8-4c95-b249-89fbb2c2f1c7	 GET	undefined	/subdir/css/style.css 
2023-05-18		14:37:36	605d7ba9-4a74-4d4e-90b0-9baae482076c	 GET	undefined	/subdir/kfjfj 
2023-05-18		14:37:36	6d816028-9ed6-4419-9cbf-1ea49dc167aa	 GET	undefined	/subdir/css/style.css 
2023-05-18		14:54:19	99b0d6fc-1d64-43bf-9f8f-177c9a3e6e64	 GET	undefined	/ 
2023-05-18		14:54:19	c5731c46-c1aa-4e43-97f2-b3b65fc179df	 GET	undefined	/css/style.css 
2023-05-18		14:56:07	7ac64f06-6152-48cd-b8d6-4aaeb80ab415	 GET	undefined	/ 
2023-05-18		14:56:08	0dc6b112-6104-4d2d-9af6-f778be1db3af	 GET	undefined	/css/style.css 
2023-05-18		14:56:09	d25897c0-93af-4589-a20c-a22079a98edd	 GET	undefined	/new-page.html 
2023-05-18		14:56:09	4d6a40ea-1f46-441d-83cf-83a2eacb6aaa	 GET	undefined	/css/style.css 
2023-05-18		14:56:09	2842159a-4232-45f6-97b2-37e8dc2336a6	 GET	undefined	/img/ 
2023-05-18		14:56:13	099fdbd2-7f47-4228-8c23-e1d8382938a4	 GET	undefined	/new-p 
2023-05-18		14:56:13	7a8fd96d-a1e5-4d3f-a0ad-984edefc8814	 GET	undefined	/css/style.css 
2023-05-18		14:56:18	dd1c817f-ae92-454f-829e-f4b625b74ada	 GET	undefined	/subdir 
2023-05-18		14:56:18	92a8e128-554a-4c6d-9173-020b1d4bca0f	 GET	undefined	/subdir/ 
2023-05-18		14:56:18	6d31a529-78d2-4c94-af20-4d5ab5bc1507	 GET	undefined	/css/style.css 
2023-05-18		17:30:34	7166aaf1-8992-437d-b7f0-e334bec70af7	 GET	undefined	/employees 
2023-05-18		17:30:51	b09c7787-e3ed-4c34-9378-d32dc5bd9608	 GET	undefined	/employees 
2023-05-18		17:31:47	b44ed833-5403-4ee2-877d-00dfbe1c04ff	 GET	undefined	/employees 
2023-05-18		17:33:27	9e97db0e-69b6-43d3-8346-8f746858b610	 POST	undefined	/employees 
2023-05-18		17:34:07	a5734556-b74f-44c1-93c0-b0f656baa29b	 PUT	undefined	/employees 
